Episode,Algorithm,Opponent,Rewards,SC,IC,Discount,Initial_Epsilon,Final_Epsilon,Tau,Time_step,Batch_size
0,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.17798029513546557,0.03199826384946884,0.99,0.1,0.1,0.001,8,32
1,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.04421215336502002,0.027722791566047636,0.99,0.1,0.1,0.001,8,32
2,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.022642365370565663,0.05564150133832217,0.99,0.1,0.1,0.001,8,32
3,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.019303275947225397,0.025219987043800077,0.99,0.1,0.1,0.001,8,32
4,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.04050374095435841,0.0405037409543584,0.99,0.1,0.1,0.001,8,32
5,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.03961151042772437,0.03634287233333246,0.99,0.1,0.1,0.001,8,32
6,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.0385000203991398,0.0385000203991398,0.99,0.1,0.1,0.001,8,32
7,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.019677119773978895,0.013359065769625998,0.99,0.1,0.1,0.001,8,32
8,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.18470975507853757,0.048570711613927606,0.99,0.1,0.1,0.001,8,32
9,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.0260950209594771,0.04934041157005044,0.99,0.1,0.1,0.001,8,32
10,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.08177714613936023,0.12471461601348091,0.99,0.1,0.1,0.001,8,32
11,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.0,0.0,0.99,0.1,0.1,0.001,8,32
12,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.09732247952581798,0.12728431630941167,0.99,0.1,0.1,0.001,8,32
13,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.0635224335640713,0.09234675596595138,0.99,0.1,0.1,0.001,8,32
14,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.02720550099342025,0.05564150133832218,0.99,0.1,0.1,0.001,8,32
15,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.03095901141891965,0.21040567247980943,0.99,0.1,0.1,0.001,8,32
16,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.020220730053926928,0.07263140501786189,0.99,0.1,0.1,0.001,8,32
17,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.03925555032040609,0.06289932798657098,0.99,0.1,0.1,0.001,8,32
18,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.046141113690931664,0.046141113690931664,0.99,0.1,0.1,0.001,8,32
19,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.035073086880945764,0.20701283287715874,0.99,0.1,0.1,0.001,8,32
