Episode,Algorithm,Opponent,Rewards,SC,IC,Discount,Initial_Epsilon,Final_Epsilon,Tau,Time_step,Batch_size
0,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.5390185990156505,0.5698415288826343,0.99,0.1,0.1,0.001,8,32
1,Comm-DQN,RandomAgent,"[0, 0, 0, 0]",0.3599690021661632,0.3390559260393166,0.99,0.1,0.1,0.001,8,32
2,Comm-DQN,RandomAgent,"[0, 0, 0, 0]",0.4562292570276332,0.5189701153600196,0.99,0.1,0.1,0.001,8,32
3,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.5387948458975197,0.5543810570029426,0.99,0.1,0.1,0.001,8,32
4,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.6347645062515804,0.6347645062515803,0.99,0.1,0.1,0.001,8,32
5,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.5626494155791724,0.6707067803415114,0.99,0.1,0.1,0.001,8,32
6,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.5393430089277987,0.6121557755720847,0.99,0.1,0.1,0.001,8,32
7,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.5206651970674451,0.48680247045423414,0.99,0.1,0.1,0.001,8,32
8,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.71063817042567,0.5969486482089634,0.99,0.1,0.1,0.001,8,32
9,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.5403101607346091,0.523941241046705,0.99,0.1,0.1,0.001,8,32
10,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.5718264639645548,0.5036303744101964,0.99,0.1,0.1,0.001,8,32
11,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.4039274862122184,0.46979051054645127,0.99,0.1,0.1,0.001,8,32
12,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.5621041899194584,0.5364629161081972,0.99,0.1,0.1,0.001,8,32
13,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.4966473836659552,0.5257156800072234,0.99,0.1,0.1,0.001,8,32
