Episode,Algorithm,Opponent,Rewards,SC,IC,Discount,Initial_Epsilon,Final_Epsilon,Tau,Time_step,Batch_size
0,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.40379418006070955,0.34086951194127313,0.99,0.1,0.1,0.001,8,32
1,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.2721297002574009,0.28868605964947586,0.99,0.1,0.1,0.001,8,32
2,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.29083461056378085,0.3527368338900825,0.99,0.1,0.1,0.001,8,32
3,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.3129619576072297,0.31296195760722967,0.99,0.1,0.1,0.001,8,32
4,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.21799654242468253,0.31991408333535937,0.99,0.1,0.1,0.001,8,32
5,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.20623269758328988,0.2540488116783303,0.99,0.1,0.1,0.001,8,32
6,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.25018574407948824,0.35454034289494957,0.99,0.1,0.1,0.001,8,32
7,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.37843344422763314,0.37270383097978615,0.99,0.1,0.1,0.001,8,32
8,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.278412663275487,0.35846434435266983,0.99,0.1,0.1,0.001,8,32
9,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.280749212465889,0.2796321900548596,0.99,0.1,0.1,0.001,8,32
10,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.33085339923880636,0.3952956506011452,0.99,0.1,0.1,0.001,8,32
11,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.3324980084730409,0.2667886756467631,0.99,0.1,0.1,0.001,8,32
12,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.2869298497044593,0.36788682670943645,0.99,0.1,0.1,0.001,8,32
13,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.21713899879088075,0.291752597652602,0.99,0.1,0.1,0.001,8,32
14,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.31828447361466583,0.27589928930927293,0.99,0.1,0.1,0.001,8,32
15,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.2942679149881669,0.38275472199524574,0.99,0.1,0.1,0.001,8,32
16,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.20375400321799647,0.26646482621085954,0.99,0.1,0.1,0.001,8,32
17,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.24078588542433635,0.20917376690286157,0.99,0.1,0.1,0.001,8,32
18,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.29897521941660754,0.3113904441411233,0.99,0.1,0.1,0.001,8,32
