Episode,Algorithm,Opponent,Rewards,SC,IC,Discount,Initial_Epsilon,Final_Epsilon,Tau,Time_step,Batch_size
0,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.06139467419336863,0.05685182663506762,0.99,0.1,0.1,0.001,8,32
1,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.05288124476521347,0.05428601284374361,0.99,0.1,0.1,0.001,8,32
2,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.02123718390210801,0.006038363782375457,0.99,0.1,0.1,0.001,8,32
3,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.0675664408203195,0.07718045028642552,0.99,0.1,0.1,0.001,8,32
4,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.06256132875891642,0.20152238895631375,0.99,0.1,0.1,0.001,8,32
5,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.10511252731993641,0.09731077155687114,0.99,0.1,0.1,0.001,8,32
6,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.07881831146563592,0.08200789782682842,0.99,0.1,0.1,0.001,8,32
7,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.07874238292656192,0.057449490146426446,0.99,0.1,0.1,0.001,8,32
8,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.08669010800679212,0.08980555048361995,0.99,0.1,0.1,0.001,8,32
9,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.12984179274214772,0.1297482375358656,0.99,0.1,0.1,0.001,8,32
10,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.08089461815266688,0.08426414338553398,0.99,0.1,0.1,0.001,8,32
11,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.004630449096992102,0.035667148316758365,0.99,0.1,0.1,0.001,8,32
12,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.0265893402309339,0.024991994785250438,0.99,0.1,0.1,0.001,8,32
13,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.027413806862951563,0.02290284958009948,0.99,0.1,0.1,0.001,8,32
14,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.08859086495700422,0.05414454006554107,0.99,0.1,0.1,0.001,8,32
15,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.09538497094706959,0.02083238280695488,0.99,0.1,0.1,0.001,8,32
16,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.004172857966154136,0.0018965567881731298,0.99,0.1,0.1,0.001,8,32
17,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.06403774073680944,0.09428750754338347,0.99,0.1,0.1,0.001,8,32
18,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.07347154029792821,0.058262617629828345,0.99,0.1,0.1,0.001,8,32
