Episode,Algorithm,Opponent,Rewards,SC,IC,Discount,Initial_Epsilon,Final_Epsilon,Tau,Time_step,Batch_size
0,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.19049727376869266,0.12602678753624785,0.99,0.1,0.1,0.001,8,32
1,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.3377850061712266,0.3337271681187142,0.99,0.1,0.1,0.001,8,32
2,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.326809255512307,0.30351007736644786,0.99,0.1,0.1,0.001,8,32
3,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.4494409442615143,0.37007833150689023,0.99,0.1,0.1,0.001,8,32
4,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.28611948458603054,0.3579106491022673,0.99,0.1,0.1,0.001,8,32
5,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.17674525600043398,0.2172517675936906,0.99,0.1,0.1,0.001,8,32
6,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.35480681158604743,0.3373901277871291,0.99,0.1,0.1,0.001,8,32
7,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.4485532422085608,0.4205211861550317,0.99,0.1,0.1,0.001,8,32
8,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.3506546401824112,0.33534801090761496,0.99,0.1,0.1,0.001,8,32
9,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.5842176454445202,0.6416041248770992,0.99,0.1,0.1,0.001,8,32
10,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.47320804046991655,0.5322000923657271,0.99,0.1,0.1,0.001,8,32
11,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.5182144066893745,0.53566907679613,0.99,0.1,0.1,0.001,8,32
12,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.3435830347077665,0.34365160878805867,0.99,0.1,0.1,0.001,8,32
13,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.21640783244044628,0.1958400402002343,0.99,0.1,0.1,0.001,8,32
14,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.47684563916265205,0.4910605751111946,0.99,0.1,0.1,0.001,8,32
15,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.49600963088929495,0.5501219174483168,0.99,0.1,0.1,0.001,8,32
16,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.3510316738422822,0.4316110199284697,0.99,0.1,0.1,0.001,8,32
17,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.5710781438520487,0.5521175929481298,0.99,0.1,0.1,0.001,8,32
18,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.36743568714550334,0.3662366729796112,0.99,0.1,0.1,0.001,8,32
19,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.12678223720471782,0.16183431354365674,0.99,0.1,0.1,0.001,8,32
20,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.37997453658845864,0.4317479721015748,0.99,0.1,0.1,0.001,8,32
21,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.1803720950126017,0.11602730742051803,0.99,0.1,0.1,0.001,8,32
22,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.24575545761363563,0.2346262819820124,0.99,0.1,0.1,0.001,8,32
23,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.384782474370026,0.4265734234117865,0.99,0.1,0.1,0.001,8,32
24,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.32525226760975356,0.4353052920998625,0.99,0.1,0.1,0.001,8,32
25,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.24709705277561592,0.311821048740181,0.99,0.1,0.1,0.001,8,32
26,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.31636273640241147,0.39037940653304,0.99,0.1,0.1,0.001,8,32
27,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.10633936027806656,0.19767401068605805,0.99,0.1,0.1,0.001,8,32
28,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.31509860627703057,0.3764234937488966,0.99,0.1,0.1,0.001,8,32
29,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.2152745323168376,0.30259655610515335,0.99,0.1,0.1,0.001,8,32
30,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.30102969633834553,0.3824405706403285,0.99,0.1,0.1,0.001,8,32
31,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.5203541188962092,0.574894552792506,0.99,0.1,0.1,0.001,8,32
32,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.4368196692886759,0.48890110735432757,0.99,0.1,0.1,0.001,8,32
33,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.439132494954736,0.3441364152686587,0.99,0.1,0.1,0.001,8,32
34,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.3132038349962286,0.37816895671049927,0.99,0.1,0.1,0.001,8,32
35,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.6853683759418673,0.6987142241263049,0.99,0.1,0.1,0.001,8,32
36,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.16642186050000862,0.4381808513949876,0.99,0.1,0.1,0.001,8,32
37,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.2300078747172404,0.21945515255954473,0.99,0.1,0.1,0.001,8,32
38,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.3913617103473325,0.28857883827092334,0.99,0.1,0.1,0.001,8,32
39,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.6469715879801244,0.8458632560736686,0.99,0.1,0.1,0.001,8,32
40,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.09600469145104068,0.23657359318813678,0.99,0.1,0.1,0.001,8,32
41,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.1504267330841913,0.15042673308419136,0.99,0.1,0.1,0.001,8,32
42,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.20696744981220042,0.3097321492124532,0.99,0.1,0.1,0.001,8,32
43,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.510784923395198,0.5891029102308383,0.99,0.1,0.1,0.001,8,32
44,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.42894920497845607,0.4199783876782811,0.99,0.1,0.1,0.001,8,32
45,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.6590681862840168,0.6665480847807727,0.99,0.1,0.1,0.001,8,32
46,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.3086544193170858,0.35122231402043785,0.99,0.1,0.1,0.001,8,32
47,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.28529459577918825,0.39330623904668566,0.99,0.1,0.1,0.001,8,32
48,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.5010697500035874,0.4519285217285841,0.99,0.1,0.1,0.001,8,32
49,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.32714642309644404,0.3051830952803216,0.99,0.1,0.1,0.001,8,32
50,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.20236111179707764,0.23586859023922024,0.99,0.1,0.1,0.001,8,32
51,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.19311896226361322,0.1441773196646658,0.99,0.1,0.1,0.001,8,32
52,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.1460961967119885,0.18913519626128253,0.99,0.1,0.1,0.001,8,32
53,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.23457588704425936,0.28153657527812603,0.99,0.1,0.1,0.001,8,32
54,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.20696243831653957,0.22058361608182234,0.99,0.1,0.1,0.001,8,32
55,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.3183569132879912,0.27440714658873017,0.99,0.1,0.1,0.001,8,32
56,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.16886320856710782,0.1083712808570905,0.99,0.1,0.1,0.001,8,32
57,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.4481791088108698,0.4892836018485114,0.99,0.1,0.1,0.001,8,32
58,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.48579415295341893,0.5804393342908171,0.99,0.1,0.1,0.001,8,32
59,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.1995682419427624,0.20571311529010178,0.99,0.1,0.1,0.001,8,32
60,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.3728403103769119,0.382252729504706,0.99,0.1,0.1,0.001,8,32
61,Comm-DQN,RandomAgent,"[0, 0, 0, 0]",0.24376446739157992,0.23481666690919162,0.99,0.1,0.1,0.001,8,32
62,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.3365652610792679,0.48482794713701355,0.99,0.1,0.1,0.001,8,32
63,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.35461661139050293,0.33639839062412924,0.99,0.1,0.1,0.001,8,32
64,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.3660503353313744,0.3724383865001416,0.99,0.1,0.1,0.001,8,32
65,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.38461517077558055,0.38379130616429324,0.99,0.1,0.1,0.001,8,32
66,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.1914810422110216,0.16969864727507122,0.99,0.1,0.1,0.001,8,32
67,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.2938752065902062,0.23305544037398157,0.99,0.1,0.1,0.001,8,32
68,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.22904855314558484,0.2706460433095273,0.99,0.1,0.1,0.001,8,32
69,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.3539339024237866,0.35972417442211213,0.99,0.1,0.1,0.001,8,32
70,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.6676203089934094,0.49778792229574703,0.99,0.1,0.1,0.001,8,32
