Episode,Algorithm,Opponent,Rewards,SC,IC,Discount,Initial_Epsilon,Final_Epsilon,Tau,Time_step,Batch_size
0,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.0416772234234089,0.04775811644136791,0.99,0.1,0.1,0.001,8,32
1,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.015235965448668636,0.014464137089889539,0.99,0.1,0.1,0.001,8,32
2,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.061060631192689584,0.08272148058518786,0.99,0.1,0.1,0.001,8,32
3,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.048110132383973395,0.028481998774393003,0.99,0.1,0.1,0.001,8,32
4,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.017124296484257277,0.015573198323480314,0.99,0.1,0.1,0.001,8,32
5,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.02792836326871717,0.03778375487808103,0.99,0.1,0.1,0.001,8,32
6,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.0,0.0,0.99,0.1,0.1,0.001,8,32
7,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.042869509458367386,0.05747881888226621,0.99,0.1,0.1,0.001,8,32
8,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.04986359759484963,0.1175366457240736,0.99,0.1,0.1,0.001,8,32
9,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.07679879145842687,0.04318923997466051,0.99,0.1,0.1,0.001,8,32
10,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.028963704118753042,0.14504803323654894,0.99,0.1,0.1,0.001,8,32
11,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.015727506801800895,0.019724625758183175,0.99,0.1,0.1,0.001,8,32
12,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.015318895580376662,0.015318895580376659,0.99,0.1,0.1,0.001,8,32
13,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.03340219127437042,0.03340219127437042,0.99,0.1,0.1,0.001,8,32
14,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.009168480892704977,0.008550149959866341,0.99,0.1,0.1,0.001,8,32
15,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.033785773589876195,0.10795858325692809,0.99,0.1,0.1,0.001,8,32
