Episode,Algorithm,Opponent,Rewards,SC,IC,Discount,Initial_Epsilon,Final_Epsilon,Tau,Time_step,Batch_size
0,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.23323548075347966,0.32101889828021946,0.99,0.1,0.1,0.001,8,32
1,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.3068905517110257,0.30980886318317435,0.99,0.1,0.1,0.001,8,32
2,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.25258740304308885,0.20674776796698024,0.99,0.1,0.1,0.001,8,32
3,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.28863063245403836,0.34909509960798213,0.99,0.1,0.1,0.001,8,32
4,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.20919712829199147,0.2829450255316467,0.99,0.1,0.1,0.001,8,32
5,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.24616602881440863,0.2364391814241187,0.99,0.1,0.1,0.001,8,32
6,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.25260155633642273,0.26878529150369196,0.99,0.1,0.1,0.001,8,32
7,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.2067107770434887,0.3089941624765552,0.99,0.1,0.1,0.001,8,32
8,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.1664363482631083,0.20417132650772576,0.99,0.1,0.1,0.001,8,32
9,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.26725672935417044,0.28464027014759813,0.99,0.1,0.1,0.001,8,32
10,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.24415311794610345,0.2446968228830015,0.99,0.1,0.1,0.001,8,32
11,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.2064578499488618,0.2064578499488618,0.99,0.1,0.1,0.001,8,32
12,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.2736005995337486,0.26847221852543335,0.99,0.1,0.1,0.001,8,32
13,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.2286878226684177,0.2313955811382421,0.99,0.1,0.1,0.001,8,32
14,Comm-DQN,RandomAgent,"[0, 0, 0, 0]",0.1848052925897823,0.2105487433313007,0.99,0.1,0.1,0.001,8,32
15,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.2886952790030654,0.42108111733667813,0.99,0.1,0.1,0.001,8,32
16,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.22991328091658866,0.29800753239698224,0.99,0.1,0.1,0.001,8,32
17,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.3271638366453846,0.3302475867335551,0.99,0.1,0.1,0.001,8,32
18,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.15830367024506586,0.21381870034921888,0.99,0.1,0.1,0.001,8,32
19,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.30731079913415454,0.310175605758078,0.99,0.1,0.1,0.001,8,32
20,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.2187440315476669,0.30362221357436175,0.99,0.1,0.1,0.001,8,32
21,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.25890056986492604,0.3136424152094937,0.99,0.1,0.1,0.001,8,32
22,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.20275252103402983,0.30139711277728143,0.99,0.1,0.1,0.001,8,32
23,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.2559610496142067,0.3103156523828497,0.99,0.1,0.1,0.001,8,32
24,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.24431460164510954,0.24047744216173791,0.99,0.1,0.1,0.001,8,32
