Episode,Algorithm,Opponent,Rewards,SC,IC,Discount,Initial_Epsilon,Final_Epsilon,Tau,Time_step,Batch_size
0,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.3219609251892377,0.3238902395255679,0.99,0.1,0.1,0.001,8,32
1,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.1921215054860145,0.1934839063063982,0.99,0.1,0.1,0.001,8,32
2,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.21010831219840115,0.27269109632737076,0.99,0.1,0.1,0.001,8,32
3,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.2120769545037536,0.2470887695724856,0.99,0.1,0.1,0.001,8,32
4,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.3249127408874743,0.3249127408874743,0.99,0.1,0.1,0.001,8,32
5,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.2349492372747741,0.2330774537398582,0.99,0.1,0.1,0.001,8,32
6,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.30007487016969275,0.3319074396903282,0.99,0.1,0.1,0.001,8,32
7,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.24232533601873363,0.2586106780810164,0.99,0.1,0.1,0.001,8,32
8,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.27265371196726823,0.37403941148065517,0.99,0.1,0.1,0.001,8,32
9,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.28114848148301913,0.43466865794558374,0.99,0.1,0.1,0.001,8,32
10,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.352073527284949,0.352073527284949,0.99,0.1,0.1,0.001,8,32
11,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.4050480306097608,0.27454375928947816,0.99,0.1,0.1,0.001,8,32
12,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.26590247734067307,0.265902477340673,0.99,0.1,0.1,0.001,8,32
13,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.35662955477067704,0.2932806688532341,0.99,0.1,0.1,0.001,8,32
14,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.17875087506984208,0.44590873189253477,0.99,0.1,0.1,0.001,8,32
15,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.2541086452942922,0.14545171938520451,0.99,0.1,0.1,0.001,8,32
16,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.18514120994297137,0.35730152096253204,0.99,0.1,0.1,0.001,8,32
17,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.24974619754074262,0.47809771717581195,0.99,0.1,0.1,0.001,8,32
18,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.26967092715131596,0.2828244617684971,0.99,0.1,0.1,0.001,8,32
19,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.24683387180235802,0.2916064579206762,0.99,0.1,0.1,0.001,8,32
20,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.2552162569006498,0.22048280217420324,0.99,0.1,0.1,0.001,8,32
21,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.3336256460819497,0.3674213262959664,0.99,0.1,0.1,0.001,8,32
22,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.4708276654366581,0.4046347462698518,0.99,0.1,0.1,0.001,8,32
23,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.34901473153358376,0.2762957790319088,0.99,0.1,0.1,0.001,8,32
24,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.1933777148593929,0.23356080465147577,0.99,0.1,0.1,0.001,8,32
25,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.303954658469541,0.30469037722024267,0.99,0.1,0.1,0.001,8,32
26,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.28261799949672173,0.2612833003334931,0.99,0.1,0.1,0.001,8,32
27,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.3812262444011618,0.38997082015623835,0.99,0.1,0.1,0.001,8,32
28,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.26661232665493606,0.2675134226498864,0.99,0.1,0.1,0.001,8,32
29,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.22640740654780375,0.2497915463823115,0.99,0.1,0.1,0.001,8,32
30,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.34125135293313785,0.352263260644492,0.99,0.1,0.1,0.001,8,32
31,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.25824343996529225,0.2678794670181848,0.99,0.1,0.1,0.001,8,32
32,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.34546165465690903,0.34657359027997264,0.99,0.1,0.1,0.001,8,32
33,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.2590382744000865,0.23421395627355593,0.99,0.1,0.1,0.001,8,32
34,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.3350336096141592,0.2231393517864635,0.99,0.1,0.1,0.001,8,32
35,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.3536547538393541,0.32848795033032047,0.99,0.1,0.1,0.001,8,32
36,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.34657359027997264,0.34657359027997264,0.99,0.1,0.1,0.001,8,32
37,Comm-DQN,RandomAgent,"[-1, 1, -1, 1]",0.25212779441173505,0.26996617606972734,0.99,0.1,0.1,0.001,8,32
38,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.12569152450794432,0.12956373865230758,0.99,0.1,0.1,0.001,8,32
39,Comm-DQN,RandomAgent,"[1, -1, 1, -1]",0.19863234486379533,0.2793457868347571,0.99,0.1,0.1,0.001,8,32
